Organisasjonsnummer,Navn,Antall Ansatte,Næringskoder,Kommune,Adresse,Overordnet Enhet,Driftsresultat Overordnet Enhet,Vedtektsfestet Formål,Aktivitet,Overordnet Enhet Navn
979620969,SATS ÅSANE,45,93.130,BERGEN,Liamyrane 13,892625522,253566408.00,"Helse-, trenings-, massasje-, og solstudiovirksomhet samt lignende, virksomhet og alt som er forbundet med dette inklusive å eie aksjer i, andre selskaper som driver tilsvarende virksomhet.","Helse-, trenings-, massasje-, og solstudiovirksomhet samt lignende, virksomhet og alt som er forbundet med dette inklusive å eie aksjer i, andre selskaper som driver tilsvarende virksomhet.",SATS NORWAY AS
990710961,SCALA TRENING AS,7,93.130,BERGEN,Hagerupsvei 32,990638993,227240.00,Treningssenter for voksne.,Fysisk trening av voksne utført av off. godkjente fysioterapeuter.,SCALA TRENING AS
927111691,SCAMP ÅSANE AS,,93.130,BERGEN,Langarinden 5,927094282,-460296.00,"Produksjon, handel og tjenesteyting innen helsestudiovirksomhet og, fysisk trening, samt deltagelse i andre selskap med liknende eller, tilsvarende formål.",Treningssenter.,SCAMP ÅSANE AS
974171732,SISSELS TRENING & TRIVSEL A/S,25,93.130,BERGEN,Folke Bernadottes vei 52,996012875,-546574.00,"Produksjon, handel og tjenesteyting innen helsestudiovirksomhet og, fysisk trening, samt deltagelse i andre selskap med liknende eller, tilsvarende formål.",Treningssenter.,SISSELS TRENING & TRIVSEL AS
917312133,SKY FITNESS DROTNINGSVIK AS,5,93.130,BERGEN,Drotningsvikveien 132,917238294,70189.00,"Å drive treningssenter, samt alt som naturlig, tilhører dette, herunder deltakelse i andre selskap.",Treningssenter og treningsrelatert virksomhet.,SKY FITNESS DROTNINGSVIK AS
920530001,SKY FITNESS ÅSANE AS,7,93.130,BERGEN,Liavegen 1,920444377,1336014.00,Selskapets virksomhet er å drive treningssenter.,Drive treningssenter.,SKY FITNESS ÅSANE AS
927201968,SPORTIC AS,,93.130,BERGEN,Solheimsgaten 72,827173312,-6780.00,"Trening og veiledning knyttet til dette og andre produkter og, tjenester som naturlig hører sammen med dette.",Treningssenter og andre produkter og tjenester tilknyttet dette,SPORTIC AS
996641589,THIS IS CROSSFIT AS,,93.130,BERGEN,Bontelabo 2,996617122,57449.00,"Selskapets formål er å drive helsestudio med tilhørende varesalg, samt, personlig trening og andre konsulenttjenester og undervisning, tilknyttet trening.","Helse: drift av treningsstudio. Salg av konsulent- og, undervisningstjenester innenfor trening. Handel: salg av varer som, treningsutstyr og kioskvarer som vann, energidrikker og lignende.",THIS IS CROSSFIT AS
926167200,TRENING OG HELSE VEST AS,,93.130,BERGEN,Hardangervegen 871,926038443,-51146.00,Drift av treningssenter og hva dermed står i sammenheng.,Treningssenter.,TRENING OG HELSE VEST AS
921369999,TRENING2 AS,,93.130,BERGEN,Spelhaugen 6,921337809,701938.00,"Drive treningssenter, kjøp og salg av aksjer, å engasjere seg i, beslektede virksomheter, samt alt hva hermed måtte stå i forbindelse.","Drive treningssenter, kjøp og salg av aksjer, å engasjere seg i, beslektede virksomheter, samt alt hva hermed måtte stå i forbindelse.",TRENING2 AS
929441311,TRENINGSHELSE HOLDING AS,,93.130,BERGEN,Litleåsvegen 47,929251857,-2903395.00,Investering i aksjer/selskaper.,Investering i aksjer/selskaper.,TRENINGSHELSE HOLDING AS
925288578,VESTLAND PADEL AS,,93.130,BERGEN,Stokkedalen 40,825183752,-3361458.00,"Erverve, avhende og eie aksjer og andeler i andre selskap og annen, virksomhet.","Investeringsselskap med eierskap i øvrige aksjeselskaper eller, tilsvarende innretninger.",VESTLAND PADEL AS
915320635,VEWI AS,12,93.130,BERGEN,Torggaten 7,914036259,-375110.00,"Selskapets primære virksomhet er å drive med danseundervisning,, inklusiv salg av produkter og tjenester som naturlig hører sammen med, dette. Selskapet skal også gjennom investeringer, eller på annen måte,, kunne ta del i andre forretningstiltak.",Danseundervisning. Undervisning i kunstfag.,VEWI AS
998150264,YOGAROMMET AS,,93.130,BERGEN,Strandgaten 10,998132533,-15962.00,"Undervisning av yoga og meditasjon samt andre tilbud som naturlig, faller sammen med dette, herunder å delta i andre selskaper med, lignende virksomhet og kjøp og salg av utstyr til disse aktivitetene.","Treningstudio. Yoga, gruppetrening i studio og web-basert/online,, privattimer/pt og annet som naturlig følger av dette",YOGAROMMET AS
